Date,reliance,adani
########,1555.109,213.55
########,1565.461,213.1
########,1536.585,214.9
########,1571.603,209
########,1564.074,207.85
########,1538.12,212.45
########,1536.287,208.4
########,1540.3,206.5
########,1557.833,207.45
########,1547.283,204.2
########,1547.729,206.15
########,1553.475,210.4
########,1568.037,212.2
########,1551.89,210.5
########,1548.026,211.2
########,1561.053,208.15
########,1594.833,210.55
########,1584.084,218.8
########,1556.645,214.55
########,1531.929,209.15
########,1501.17,208.95
########,1527.867,209.1
########,1529.7,208.65
########,1499.833,208.35
1/1/2020,1495.425,207.85
1/2/2020,1520.884,211.2
1/3/2020,1522.716,208.3
1/6/2020,1487.401,199.55
1/7/2020,1510.284,204.05
1/8/2020,1498.942,201.5
1/9/2020,1533.464,208
########,1533.118,209.1
########,1529.205,213.6
########,1515.039,214.35
########,1509.541,216.6
########,1523.459,220
########,1566.154,228.4
########,1517.961,226.55
########,1519.497,224.25
########,1518.952,225.9
########,1512.513,229.6
########,1507.263,229.75
########,1492.404,230.55
########,1457.93,229.9
########,1465.954,232.3
########,1430.193,231.5
########,1398.395,229.45
2/3/2020,1372.49,220.9
2/4/2020,1413.006,225.45
2/5/2020,1434.899,236.25
2/6/2020,1444.111,236.5
2/7/2020,1420.188,239.5
########,1422.12,244.5
########,1439.109,245.3
########,1456.494,249.7
########,1460.308,251.45
########,1473.631,256.15
########,1464.369,252.5
########,1453.621,249.45
########,1489.679,254
########,1471.997,258.65
########,1431.382,247.25
########,1403.1,246.45
########,1378.929,242.8
########,1373.233,234.15
########,1316.174,218.65
3/2/2020,1303.791,218.6
3/3/2020,1330.241,225.75
3/4/2020,1327.12,221.1
3/5/2020,1298.838,221.75
3/6/2020,1259.065,214.75
3/9/2020,1103.688,199.7
########,1142.718,195.75
########,1053.018,162.15
########,1094.921,148.75
########,1006.163,134.7
########,998.5349,133.4
########,959.4058,130.2
########,909.0828,128.9
########,1008.391,137.7
########,875.7488,120.9
########,934.5415,130.35
########,1072.088,132.3
########,1056.188,140.25
########,1055.594,128
########,1020.774,128.7
########,1103.292,137.6
4/1/2020,1070.305,133.95
4/3/2020,1067.333,129.05
4/7/2020,1194.775,138.15
4/8/2020,1180.956,138.1
4/9/2020,1208.495,142.45
########,1177.984,146
########,1139.053,145.25
########,1157.082,143.3
########,1212.507,143.9
########,1232.121,146.7
########,1225.731,135.95
########,1350.796,137.6
########,1358.027,140.5
########,1403.694,134.65
########,1416.325,134.6
########,1414.74,139.3
########,1413.551,139.5
########,1452.234,141.4
5/4/2020,1421.724,131.55
5/5/2020,1446.934,132.7
5/6/2020,1447.034,133.25
5/7/2020,1492.8,134.9
5/8/2020,1547.135,137.15
########,1561.994,140.05
########,1465.36,139.9
########,1496.45,141.15
########,1435.95,140.9
########,1459.4,141.05
########,1440.75,135.9
########,1408.9,139.7
########,1433.7,141.35
########,1441.25,138.3
########,1431.55,138.1
########,1424.05,139.5
########,1445.55,141
########,1472.25,142.65
########,1464.4,148.35
6/1/2020,1520.35,150.5
6/2/2020,1535.7,149.95
6/3/2020,1541.65,150.65
6/4/2020,1579.8,148
6/5/2020,1581.7,152.45
6/8/2020,1569.5,152.65
6/9/2020,1537.15,151.9
########,1572.15,151.85
########,1537.7,151.8
########,1588.8,152.3
########,1614.55,149.25
########,1617.7,146.2
########,1615.35,147.15
########,1655.9,147.85
########,1759.4,152.7
########,1746.15,154.65
########,1720.9,157.2
########,1727.85,154.8
########,1717.9,161.65
########,1741.65,162.15
########,1723.15,159.75
########,1704.1,156.25
7/1/2020,1737.6,157.65
7/2/2020,1760.35,158.2
7/3/2020,1787.9,160
7/6/2020,1851.8,164.2
7/7/2020,1823.45,168.15
7/8/2020,1798,163
7/9/2020,1824.25,162.75
########,1878.05,159.7
########,1935,156.05
########,1917,149.75
########,1844,147.75
########,1843.4,148.9
########,1911.7,151.6
########,1919.9,160.7
########,1971.55,167.3
########,2004,169.4
########,2057.8,169.95
########,2146.15,168.75
########,2156.2,165.95
########,2177.7,173.55
########,2096.65,179.1
########,2108.85,175.05
########,2067.1,175.25
8/3/2020,2009,172.25
8/4/2020,2150.6,182.1
8/5/2020,2126.45,179.6
8/6/2020,2134.1,185.95
8/7/2020,2146.45,192.9
########,2119.85,195.7
########,2133.8,195.85
########,2127.6,197.7
########,2122.05,200.75
########,2113.8,196.2
########,2091.35,197.8
########,2118.55,213.7
########,2131.55,239.55
########,2097.05,234
########,2081.85,233.35
########,2095.75,248.7
########,2082.1,307.55
########,2137.3,285.55
########,2110.6,286.7
########,2116.15,288.25
########,2080.7,279.55
9/1/2020,2087.25,281.1
9/2/2020,2128.2,293.05
9/3/2020,2112.1,291.25
9/4/2020,2077.25,285.15
9/7/2020,2082.65,285.25
9/8/2020,2107.1,277.7
9/9/2020,2161.35,283.05
########,2314,298.3
########,2319.75,296
########,2302.55,293.15
########,2318.85,288.55
########,2324.55,297.1
########,2298.75,293.7
########,2305.7,291.55
########,2255.85,277.1
########,2211.15,280.4
########,2230.8,283.55
########,2181.2,270.45
########,2201.7,280.3
########,2216.25,295.7
########,2245.05,297.9
########,2234.35,297.1
########,2225.25,308.15
########,2212.2,326.6
########,2210.35,327.15
########,2257.5,330.1
########,2239.25,316.25
########,2233.45,313
########,2237.05,315.35
########,2280.7,313.2
########,2287.5,313.4
########,2206.5,307.1
########,2175.8,307
########,2176.2,316.95
########,2155.9,321.9
########,2124.6,312
########,2106.95,311.5
########,2113.05,315.45
########,2029.1,307.4
########,2034.5,314.05
########,2011.45,318.85
########,2026.9,328.9
########,2054.5,339.7
########,1877.45,341.1
########,1850.4,344.8
########,1913.2,351.85
########,1955,352.75
########,2029.15,352.1
########,2050.7,357.9
########,2084.55,359.5
########,1997.2,360.1
########,1980,365.55
########,1996.4,368.6
########,2002.3,371.25
########,1993.25,394.3
########,1987.2,394.5
########,1973.15,385.75
########,1899.5,388.3
########,1950.7,409.05
########,1964.05,407.2
########,1947.8,399.25
########,1952.6,401.95
########,1929.8,398.4
########,1954.9,421.9
########,1958.15,453.75
########,1964.05,447.55
########,1946.75,445.95
########,1958.2,457.55
########,1993.75,451.9
########,2026.95,449.1
########,2007,447.25
########,2005.8,449.8
########,1991.3,455.15
########,1974.35,462.45
########,1976.55,463.25
########,1985.6,459.3
########,1991.55,455.15
########,1939.7,429.2
########,1936.7,458.8
########,1943.85,463.6
########,1994.15,473.65
########,2003.3,490.85
########,1990.05,489.2
########,1995.5,484.15
########,1985.3,479.55
1/1/2021,1987.5,491.15
1/4/2021,1990.85,494.5
1/5/2021,1966.1,494.4
1/6/2021,1914.25,490.9
1/7/2021,1911.15,518.1
1/8/2021,1933.7,518
########,1897.25,519.15
########,1957.05,525.4
########,1938.8,536.05
########,1960.6,532.1
########,1937.45,527.3
########,1983.95,507.85
########,2016.4,530.1
########,2054.7,546.75
########,2099.4,536.9
########,2049.6,526.8
########,1941,513.9
########,1895,512.8
########,1876.55,511.85
########,1841.95,506.65
2/1/2021,1895.3,537.2
2/2/2021,1925.8,564.2
2/3/2021,1930.65,566.6
2/4/2021,1924.3,589.7
2/5/2021,1923.75,595.35
2/8/2021,1951.45,628.3
2/9/2021,1956.15,629.85
########,1974.3,650.7
########,2055.7,658.6
########,2041.6,718.95
########,2032.6,763.45
########,2059.5,780.2
########,2083.25,785.45
########,2067.7,808.2
########,2080.3,781.9
########,2008.1,805.9
########,2023.45,799.65
########,2061,805.2
########,2144.35,843.5
########,2085.8,833.65
3/1/2021,2101.7,851.5
3/2/2021,2106,872.55
3/3/2021,2202.1,915.35
3/4/2021,2175.85,918.4
3/5/2021,2178.7,909.9
3/8/2021,2191.1,910.2
3/9/2021,2191.05,905.2
########,2181.95,898.15
########,2137.6,894.1
########,2108.9,896.2
########,2100.6,897.8
########,2055.35,873.9
########,2009.1,871.05
########,2082,889.65
########,2062.4,991.05
########,2087.5,1058.4
########,2047.3,1025.45
########,1991.45,981.55
########,1994.65,988.3
########,2029.3,1031.55
########,2003.1,1031.15
4/1/2021,2021.85,1107.2
4/5/2021,1992.6,1138.25
4/6/2021,1984.3,1225.4
4/7/2021,2002.85,1165.55
4/8/2021,2005.35,1162.5
4/9/2021,1982.05,1201.4
########,1911.15,1074.4
########,1931.8,1106.35
########,1944.3,1129.95
########,1932.1,1159
########,1901.7,1136.35
########,1901.15,1142.75
########,1906.4,1157.8
########,1904.35,1157.6
########,1937.85,1173.35
########,1988.65,1191.15
########,1997.3,1185.2
########,2024.05,1182.3
########,1994.5,1158.7
5/3/2021,1959.05,1255.55
5/4/2021,1916.6,1262.5
5/5/2021,1920.1,1267.5
5/6/2021,1931,1286.75
5/7/2021,1931.75,1298.9
########,1926.2,1304.1
########,1933.15,1303.5
########,1913.15,1285.8
########,1937.3,1220.35
########,1960.35,1289.1
########,1987.95,1326.7
########,1997.05,1294.7
########,1985.4,1302
########,2002.55,1315.1
########,1985.65,1306.8
########,1963.15,1282.75
########,1970.05,1322.8
########,1976.1,1325.8
########,2094.8,1302.6
########,2160.3,1316.3
6/1/2021,2168.9,1416.25
6/2/2021,2201.25,1546.75
6/3/2021,2209.65,1583.1
6/4/2021,2190.5,1700.95
6/7/2021,2227.4,1624.3
6/8/2021,2214.6,1636.45
6/9/2021,2175,1594.65
########,2183,1612
########,2213.15,1601.6
########,2244.9,1501.45
########,2250,1538.85
########,2211.6,1448.3
########,2215.65,1367.7
########,2225.65,1487.5
########,2237.25,1540
########,2225.75,1541.6
########,2205.35,1504.75
########,2153.5,1508.5
########,2104.45,1519.45
########,2086,1525.75
########,2087.8,1523.55
########,2110.65,1507.55
7/1/2021,2097.95,1490.25
7/2/2021,2129.05,1422.05
7/5/2021,2150.2,1394.35
7/6/2021,2124.8,1414.8
7/7/2021,2110.05,1425.65
7/8/2021,2092.6,1425.9
7/9/2021,2071.2,1431.35
########,2084.1,1420.7
########,2099.7,1417.7
########,2086,1402.05
########,2082.35,1407.95
########,2112.4,1395.5
########,2098.95,1380.6
########,2093.8,1365.7
########,2120.7,1416.75
########,2105.7,1401.65
########,2076.85,1403.9
########,2055,1396.75
########,2037.35,1399.9
########,2053.25,1400.25
########,2035.3,1420.25
8/2/2021,2072.5,1438.2
8/3/2021,2087.75,1442.8
8/4/2021,2103.75,1429.55
8/5/2021,2134.25,1432.35
8/6/2021,2089.05,1536.65
8/9/2021,2077.15,1493.4
########,2088.05,1446.5
########,2117.3,1437.05
########,2110.5,1442.9
########,2145.65,1437
########,2173.5,1430.1
########,2164.25,1441.65
########,2172.65,1460
########,2148.25,1430.1
########,2162.35,1396.7
########,2183.7,1437.8
########,2202.6,1475.35
########,2230.45,1475.7
########,2227.4,1506.05
########,2270.25,1516.55
########,2258.15,1587.6
9/1/2021,2267.1,1565.2
9/2/2021,2294.4,1570.55
9/3/2021,2388.5,1565.55
9/6/2021,2425.6,1582
9/7/2021,2440.9,1558.1
9/8/2021,2431.35,1555.95
9/9/2021,2425.6,1545
########,2371.55,1532.45
########,2368.45,1513.2
########,2378.3,1516.8
########,2428.2,1503.2
########,2390.55,1480.25
########,2394.35,1418.85
########,2404.7,1441.45
########,2430.5,1437.75
########,2489.9,1474.35
########,2482.7,1461.7
########,2524.45,1531.25
########,2548.05,1487.3
########,2527.85,1485.65
########,2519.25,1468.1
########,2523.7,1458.7
########,2556.15,1526.65
########,2609.2,1527.65
########,2559.85,1479.55
########,2572.4,1520.75
########,2671.25,1547.9
########,2652.65,1539.75
